HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,SIDE,LAKE,ENDO,COAST,ORDER,SORT,t_lag_h,D_test_h,D_ddf_h,cen_x,cen_y,arf,thr_pt,thr_mm
2060483240,2060514730,2060008490,2060008490,1814.6,1814.6,12869.4,12869.6,227660,M,0,0,0,3,328,32.80025559765245,12.0,12.0,20.595331246780823,48.5781205919054,0.9069448586156412,60.0217484701927,54.436416180162496
2060486570,2060522970,2060008490,2060008490,1824.7,1824.7,46.5,177453.6,227917,M,0,0,0,1,329,88.89856258986266,12.0,12.0,18.800674472132087,47.802877722846176,0.8200408800001249,57.32032478907749,47.00500958192808
2060486470,2060522970,2060008490,2060008490,1824.9,1824.9,5148.1,5148.1,227916,M,0,0,0,2,330,23.156256932833845,12.0,12.0,19.318746948778,48.221652899848124,0.927133087046429,59.377972948299174,55.05128336211597
2060486560,2060486570,2060008490,2060008490,1833.2,1833.2,1690.4,171966.6,227919,M,0,0,0,1,331,87.84383130597513,12.0,12.0,18.333595264644593,47.622667778862876,0.821390599713799,57.449754040962326,47.18868792511629
2060486460,2060486570,2060008490,2060008490,1833.4,1833.4,5440.0,5440.5,227918,M,0,0,0,2,332,23.647501353715143,12.0,12.0,18.664615205475904,48.3670372856988,0.9260312012841215,58.18134141465453,53.87773748253415
2060541470,2060545490,2060008490,2060008490,1858.6,1858.6,10011.5,10011.5,227408,M,0,0,0,3,333,29.81481968048468,12.0,12.0,15.558526321519603,45.29830500284834,0.9129046195019388,79.61608259853149,72.68188959084732
2060541360,2060545490,2060008490,2060008490,1858.8,1858.8,12539.4,12539.4,227409,M,0,0,0,2,334,32.47788030050991,12.0,12.0,15.139581176921613,46.000000000000036,0.9075777106252559,76.1005549471828,69.06716743627567
2060478430,2060483250,2060008490,2060008490,1868.7,1868.7,4011.8,34810.3,227691,M,0,0,0,2,335,47.873090038851046,12.0,12.0,21.906249990330693,48.06041666666668,0.8796780488549435,50.052844273597145,44.030388390238265
2060478420,2060483250,2060008490,2060008490,1868.7,1868.7,14310.1,14310.6,227680,M,0,0,0,3,336,34.15014009979482,12.0,12.0,22.35948667987107,48.79166666666669,0.904321357851934,65.02320987268618,58.80187744395885
2060526900,2060533470,2060008490,2060008490,1875.0,1875.0,1135.3,10774.2,227627,M,0,0,0,3,337,30.65835311422791,12.0,12.0,23.834905115756996,46.333616977267816,0.911197564806062,57.659980709715306,52.539634009457096
2060526910,2060533470,2060008490,2060008490,1875.2,1875.2,6235.3,6235.6,227626,M,0,0,0,4,338,24.9055561324575,12.0,12.0,24.621381374166397,46.27339833577476,0.9232510864970899,57.9856091721945,53.53527666942419
2060488080,2060486560,2060008490,2060008490,1886.8,1886.8,1428.5,150792.4,227930,M,0,0,0,1,339,83.56543952433647,12.0,12.0,18.037456458226018,47.5768338521322,0.8269468796168112,56.209935404774335,46.48263068644066
2060487990,2060486560,2060008490,2060008490,1887.0,1887.0,19484.4,19484.4,227920,M,0,0,0,2,340,38.39932439685397,12.0,12.0,18.135434671322052,48.68497958713115,0.8963213883745943,55.524860215141054,49.7681197973405
2060488360,2060488080,2060008490,2060008490,1918.1,1918.1,17740.0,17740.0,227940,M,0,0,0,2,341,37.05483496358602,12.0,12.0,16.76263549009563,47.48333333333336,0.8988124679394411,60.531722188305174,54.406666608695204
2060488190,2060488080,2060008490,2060008490,1918.3,1918.3,716.1,131624.9,227950,M,0,0,0,1,342,79.35804677224972,12.0,12.0,17.35224468942064,47.993750000000034,0.8325440195138367,56.83624367161764,47.318674760436416
2060521000,2060526900,2060008490,2060008490,1926.1,1926.1,6701.5,6701.5,227629,M,0,0,0,3,343,25.59692982266215,12.0,12.0,24.87892049210742,46.737427096896724,0.9217474942514513,58.52058279611729,53.9412005544557
2060520950,2060526900,2060008490,2060008490,1926.1,1926.1,2937.7,2937.7,227628,M,0,0,0,4,344,18.710497612684254,12.0,12.0,23.193748260003012,46.46250000000002,0.9375938613898874,60.080550727088855,56.33115555064225
2060517480,2060523720,2060008490,2060008490,1977.8,1977.8,2303.0,2303.2,227806,M,0,0,0,3,345,17.05801677447841,12.0,12.0,14.314792041628696,46.84277191162112,0.9417562237109102,65.46239910588783,61.64962177701738
2060517570,2060523720,2060008490,2060008490,1978.0,1978.0,821.9,8021.4,227807,M,0,0,0,2,346,27.406752346702092,12.0,12.0,14.2895387018598,46.51045447455515,0.9178869008851722,74.22781131690822,68.1327356891662
2060477000,2060488190,2060008490,2060008490,2008.8,2008.8,28041.9,104350.7,227970,M,0,0,0,1,347,72.65587690947835,12.0,12.0,14.920194494791428,48.0039755927192,0.8417537636446732,74.92122999869864,63.06522732829277
2060476910,2060488190,2060008490,2060008490,2008.9,2008.9,26558.8,26558.8,227960,M,0,0,0,2,348,43.19581971208393,12.0,12.0,16.636172558253257,49.21111111111114,0.8877081420519422,57.94060560391229,51.434347350013326
2060478820,2060478430,2060008490,2060008490,2013.4,2013.4,11689.5,11689.7,227692,M,0,0,0,3,349,31.623343713781665,12.0,12.0,23.77052456618661,48.14373050265844,0.9092674461547142,71.70695269339475,65.20079774705995
2060478910,2060478430,2060008490,2060008490,2013.7,2013.7,444.4,19108.8,227693,M,0,0,0,2,350,38.11634130757624,12.0,12.0,22.284882011237464,47.94791666666669,0.8968427524593953,50.3389148126554,45.146090916400894
2060482340,2060478910,2060008490,2060008490,2033.1,2033.1,1020.7,15516.7,227695,M,0,0,0,2,351,35.21650618496303,12.0,12.0,22.865660581855003,47.808333333333366,0.9022779761006372,53.55189489842328,48.3186953453034
2060482470,2060478910,2060008490,2060008490,2033.3,2033.3,3147.5,3147.5,227694,M,0,0,0,3,352,19.20744021927606,12.0,12.0,22.906158706207133,47.49249666002065,0.9363750369053915,53.83468936537322,50.409459241291636
2060517330,2060517570,2060008490,2060008490,2042.8,2042.8,5817.7,5817.9,227809,M,0,0,0,2,353,24.257927026859416,12.0,12.0,13.142946361261588,46.86683129204647,0.9246749334816359,74.81968672612507,69.18388884659653
2060517550,2060517570,2060008490,2060008490,2042.8,2042.8,1381.9,1381.9,227808,M,0,0,0,3,354,14.048295175701476,12.0,12.0,13.686635793599063,46.56954820421009,0.949879909199333,71.80044188434796,68.20179721757643
2060490820,2060482340,2060008490,2060008490,2138.4,2138.4,1914.3,1914.3,227696,M,0,0,0,3,355,15.90033627173534,12.0,12.0,23.775068415030276,47.60833333333336,0.9447867892182803,62.67421072978385,59.21376632218238
2060490930,2060482340,2060008490,2060008490,2138.7,2138.7,3827.3,12581.8,227697,M,0,0,0,2,356,32.5195677889442,12.0,12.0,23.48196940353082,47.25318857828779,0.9074957341189455,55.99662620219245,50.81669940354281
2060504850,2060490930,2060008490,2060008490,2270.2,2270.2,3748.3,3748.4,227699,M,0,0,0,2,357,20.52598288940063,12.0,12.0,23.649226276769788,46.81011437310116,0.9332063433902691,56.70320315611727,52.91578887583576
2060504700,2060490930,2060008490,2060008490,2270.4,2270.4,5005.8,5005.9,227698,M,0,0,0,3,358,22.9110890817593,12.0,12.0,24.47280656634121,47.22494082980688,0.9276865976479161,54.52504231881578,50.58215099535085
2060465720,2060477000,2060008490,2060008490,2372.3,2372.3,25920.1,25920.8,227980,M,0,0,0,2,359,42.79853485891214,12.0,12.0,12.631063552576556,47.45514475504561,0.8884062810787555,69.94662436522172,62.1410204263193
